,response,zh_label,empathy_score,annotator1_score,annotator2_score,annotator3_score,,
"Would you say that your life too chaotic right now, and that is becoming overwhelming?",你會說你現在的生活太混亂了，而且變得不堪重負嗎？,1,1,1,0,2,,
Do you ever try to consider how someone else might think or feel in your situation?,你有沒有想過別人在你的情況下會怎麼想或有什麼感受？,0,0,1,0,0,,
Do you think that sometimes you might feel the need to come to someone's rescue?,你是否認為有時你可能會覺得有必要來拯救某人？,1,1,0,1,1,,
"Are you fully aware of the other side of your current situation, do you know or have ever considered the impact on others?",你是否充分意識到你當前處境的另一面，你知道或曾經考慮過對他人的影響嗎？,0,0,0,0,1,,
You may have had other conversations in the past where you talked about other views and perspectives. Have you ever taken any advice or new perspective that was offered to you into practice in your own life?,你過去可能進行過其他對話，討論了其他觀點和觀點。你有沒有將提供給你的任何建議或新觀點付諸實踐？,2,2,2,1,2,,
"Do you think that in order to feel better about yourself, you need to help other people?",你認為為了讓自己感覺更好，你需要幫助別人嗎？,0,0,1,0,0,,
"Im really pleased that you could participate. I hope that we will be in touch very soon, thanks again.",我真的很高興你能參加。希望我們能盡快聯繫，再次感謝。,2,2,1,2,2,,
"Would you say that you're prone to trying to help others, possibly even at the expense of your own happiness?",你會說你傾向於幫助別人，甚至可能以犧牲你自己的幸福為代價嗎？,2,2,2,1,2,,
"Would you say, perhaps, that you always blame yourself when something goes wrong?",也許你會說，當出現問題時，你總是責備自己？,1,1,1,1,2,,
Is it possible that you might be forcefully influencing someone else's decisions and behaviour?,你是否有可能強行影響他人的決定和行為？,1,1,2,0,1,,
How are you feeling after taking this protocol? Do u think it has benefited you or not?,服用此方案後感覺如何？你認為它對你有好處嗎？,0,0,1,0,0,,
Was this due to a recent or a more distant event or events?,這是由於最近或更遠的事件或事件造成的嗎？,0,0,0,0,0,,
Have you noticed that you always blame or accuse yourself for any negative situations lately?,你有沒有註意到你最近總是因為任何消極的情況而責備或指責自己？,0,0,1,0,0,,
"Great, let's go ahead then. Once you've tried your best and finished, come back and press ""continue"".",太好了，那我們繼續吧。一旦你盡力而為並完成，回來並按“繼續”。,2,2,1,2,2,,
"In previous conversations, did you stop to listen and think about other opinions presented?",在之前的對話中，你是否停下來傾聽並思考其他提出的觀點？,0,0,0,1,0,,
Are there any major personal problems in your life right now?,你現在的生活中是否有任何重大的個人問題？,0,0,0,0,1,,
Are you always taking the blame when things go wrong or accuse yourself for things that happen?,當事情出錯時，你是否總是責備自己或為發生的事情指責自己？,0,0,1,0,0,,
"Ok, I hear how you are feeling. Could I make a different recommendation for you to try?",好的，我聽聽你的感受。我可以提出不同的建議讓你嘗試嗎？,1,1,2,1,1,,
I really would like to understand more about what goes on in your life at the moment. Is it that you always feel you have to be minding or rescuing someone else?,我真的很想了解更多關於你目前生活中發生的事情。是不是你總是覺得你必須關心或拯救別人？,2,2,2,1,2,,
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Please tell me, are you always putting the blame on yourself when things go wrong? ",偶爾為自己的問題責備自己是正常的，但我們應該注意不要讓這成為一種破壞性的習慣。請告訴我，當事情出錯時，你總是把責任歸咎於自己嗎？,2,2,2,2,2,,
I am really sorry to hear that. Maybe we should sit down together and try another protocol that might be more beneficial to you?,聽到這個我真的很難過。也許我們應該坐下來嘗試另一種可能對你更有益的練習？,2,2,1,2,2,,
I'll see you soon!,一會兒見！,0,0,0,0,0,,
"Have you taken a step back and considered all angles, looked at your situation from others' point of view?",你有沒有退後一步，全方位考慮，站在別人的角度看待自己的處境？,1,1,1,0,1,,
"Do you think about what others think, and take their opinions on board?",你會考慮別人的想法，並接受他們的意見嗎？,0,0,0,0,1,,
"Do you think that somebody else is making you do something, or is hurting you in some way?",你認為別人是在逼你做某事，還是在以某種方式傷害你？,0,0,0,0,1,,
"Do you, even without realizing it, try to control the people around you?",你是否會在不知不覺中試圖控制周圍的人？,1,1,0,1,1,,
What about trying a different protocol and seeing if that makes you feel better?,嘗試不同的練習並看看這是否會讓你感覺更好呢？,0,0,0,0,1,,
"I'm sorry you are feeling sad and in order to help you I would like to dig a bit deeper. If you don't mind me asking, are you going through a rough personal crisis?",很抱歉你感到難過，為了幫助你，我想深入挖掘一下。如果你不介意我問，你是否正在經歷嚴重的個人危機？,2,2,1,2,2,,
Does the event that caused your sadness feel recent or distant?,導致你悲傷的事件是最近的還是遙遠的？,1,1,1,0,1,,
"I would really like to help you feel better, and may need to know a little more about this event. For example, was it very recent or did it happen in the more distant past?",我真的很想幫助你感覺更好，並且可能需要了解更多有關此事件的信息。例如，它是最近發生的還是發生在更遠的過去？,2,2,2,2,2,,
Nice to hear you're in a good mood. I actually have a beneficial protocol you could try.,很高興聽到你心情很好。我實際上有一個有益的練習，你可以試試。,1,1,1,0,1,,
Do you think it's your mission to save someone else?,你認為拯救別人是你的使命嗎？,0,0,0,0,0,,
I see. And would you mind telling me whether this happened recently or in the past?,我懂了。你介意告訴我這是最近發生的還是過去發生的？,1,1,0,1,1,,
"Thank you, I would like to know how you are feeling now. Do you think the protocol had any positive or negative effects?",謝謝，我想知道你現在的感受。你認為該練習有任何積極或消極的影響嗎？,2,2,1,2,2,,
"That can sometimes happen, but there are more protocols here which might work better for you. Would you like to try another and see if it helps?",有時會發生這種情況，但這裡有更多的練習可能更適合你。你想嘗試另一個，看看它是否有幫助？,1,1,1,1,2,,
Do you ever feel like you're attempting to keep someone under your control?,你有沒有覺得你試圖讓某人處於你的控制之下？,0,0,0,0,1,,
Are you frustrated right now with trying to control someone or something that you can't?,你現在是否因為試圖控制你無法控制的某人或某事而感到沮喪？,0,0,0,0,0,,
Would you like to try a different protocol?,你想嘗試不同的練習嗎？,0,0,0,0,1,,
Would you like to try again with a different one?,你想換一個不同的再試一次嗎？,0,0,0,0,1,,
Thank you so much for letting me know. Would you say that it was a recent or distant event (or events) that caused this emotion?,非常感謝你讓我知道。你會說是最近或遙遠的事件（或事件）引起了這種情緒嗎？,2,2,2,1,2,,
I'm sorry you're going through this right now. Did any particular event cause this? I hope there is something I can do to help.,很抱歉你現在正在經歷這些。是否有任何特定事件導致了這種情況？我希望我能做些什麼來提供幫助。,2,2,2,2,2,,
"Could it be that you're trying to control someone, perhaps?",有沒有可能是你試圖控制某人？,1,1,1,1,2,,
"Forgive me please. Without leading you, please choose how you feel from the list I'm giving you.",請原諒我。在不引導你的情況下，請從我給你的列表中選擇你的感受。,2,2,2,2,2,,
Do you ever feel like you need to control the actions of others as a way to cope?,你有沒有覺得你需要控制他人的行為來應對？,2,2,1,2,2,,
"Thank you for entrusting me by sharing how you feel. From what you have told me I would say that you are feeling {} right now, does that sound about right?",感謝你通過分享你的感受來委託我。根據你告訴我的情況，我會說你現在感覺{}，這聽起來對嗎？,2,2,2,2,2,,
Did this event happen recently or a while ago?,這個事件是最近發生的還是不久前發生的？,0,0,1,0,0,,
"Have a read through the protocol, please take your time and go at your own pace, there's no rush. When you have completed it, press 'continue'.",仔細閱讀練習，請慢慢來，按照自己的節奏進行，不要著急。完成後，按“繼續”。,2,2,2,2,2,,
Would you say you feel like the blame always belongs with you when something goes wrong?,你會說當出現問題時，你會覺得責任總是屬於你的嗎？,1,1,1,1,2,,
Did that happen recently or a while ago?,這是最近發生的還是不久前發生的？,0,0,0,0,0,,
It's your choice which one you want to follow.,你想跟隨哪一個是你的選擇。,0,0,1,0,0,,
"Do you feel like you're currently experiencing intense personal difficulties, possibly with your loved ones or friends?",你是否覺得你目前正在經歷嚴重的個人困難，可能與你所愛的人或朋友在一起？,2,2,2,1,2,,
"Thank you for trusting in me and sharing how you feel. If I understand correctly, you are feeling {} right now, would you say that's true?",感謝你信任我並分享你的感受。如果我理解正確，你現在正在感受 {}，你會說這是真的嗎？,2,2,2,2,2,,
"In all honesty, do you think that controlling someone is okay, or would you ever do it?",老實說，你認為控制某人是可以的，還是你會這樣做？,1,1,1,0,1,,
Do you always feel that you are to blame when things go wrong?,當事情出錯時，你是否總是覺得自己應該受到責備？,0,0,0,1,0,,
"I would like to know, if possible, if you feel that you have always given full and careful consideration to different points of view that were presented to you in the past.",如果可能的話，我想知道你是否覺得你總是對過去向你提出的不同觀點給予充分和仔細的考慮。,2,2,2,1,2,,
"If I may ask, do you always feel that you messed up somehow?",如果我可以問，你是不是總覺得自己搞砸了？,1,1,2,1,1,,
Do you reckon you may be acting in a controlling way?,你認為你可能以一種控制的方式行事嗎？,1,1,1,0,1,,
Did something specific bring on this feeling?,是不是有什麼特別的東西帶來了這種感覺？,0,0,0,0,1,,
Do you remember if you have strongly felt or expressed any of the following emotions recently toward someone:,你還記得你最近是否對某人有過強烈的感受或表達過以下任何一種情緒：,0,0,0,0,1,,
Thank you for letting me know that. Do you feel like others caused you to feel this way?,謝謝你讓我知道。你覺得別人讓你有這種感覺嗎？,2,2,2,1,2,,
Are you having trouble relating to your friends or family these days?,這些天來，你是否在與朋友或家人相處時遇到麻煩？,0,0,0,0,1,,
I'm sorry to hear that. May I also ask if it was caused by a recent or distant event (or events)?,我很遺憾聽到這個消息。我還可以問一下它是由最近或遙遠的事件（或事件）引起的嗎？,2,2,1,2,2,,
Please select a protocol from the ones below.,請從以下練習中選擇一個練習。,0,0,0,0,0,,
"Are you going through a rough patch, or a personal crisis? if so, you can tell me.",你正在經歷艱難的時期，還是個人危機？如果是這樣，你可以告訴我。,1,1,1,1,2,,
Do you always blame yourself when something goes wrong?,當出現問題時，你總是責備自己嗎？,0,0,0,0,1,,
Do you always unfairly hold yourself accountable for what happens to you?,你總是不公平地讓自己對發生在你身上的事情負責嗎？,1,1,1,0,1,,
Do you see yourself as a saviour?,你認為自己是救世主嗎？,0,0,0,0,0,,
"I would like to know if you feel understood or antagonised by others around you; this is important for me to be able to help you. Do you think others around you are part of the problem, are they responsible for your sadness?",我想知道你是否感到被周圍的人理解或反感；這對我來說很重要，能夠幫助你。你認為你周圍的其他人是問題的一部分，他們對你的悲傷負責嗎？,2,2,1,2,2,,
How do you feel about the protocol?,你覺得這個練習怎麼樣？,0,0,0,0,1,,
Im sorry that this happened to you. Did this happen recently or a while ago?,很抱歉這件事發生在你身上。這是最近發生的還是不久前發生的？,2,2,1,2,2,,
"Did you notice if there were unbearable emotions that came up from attempting Protocol 11 (if you have attempted it), due to past events?",你有沒有註意到由於過去的事件，在嘗試練習 11（如果你已經嘗試過）時是否會產生難以忍受的情緒？,1,1,1,1,2,,
Do you always feel that problems are your own fault?,你是否總覺得問題是你自己的錯？,0,0,0,0,1,,
Have you expressed or felt any of these negative emotions towards yourself or others in the past:,過去，你是否曾對自己或他人表達或感受過這些負面情緒：,0,0,0,1,0,,
Are you trying to take charge of someone?,你想管別人嗎？,0,0,0,0,0,,
"Some people have found that Protocol 11 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried Protocol 11, and did it cause you to feel any negative emotions?",有些人發現練習 11 不一定對他們有幫助，所以我正在嘗試評估它是否適合你當前的情況。你是否嘗試過練習 11，它是否讓你感到任何負面情緒？,2,2,2,1,2,,
"With that feeling, are you having any thoughts that you should be saving another person?",帶著這種感覺，你有沒有想過要救別人？,1,1,1,0,1,,
I'm sorry about that. Was this caused by a specific event/s?,對此我很抱歉。這是由特定事件引起的嗎？,1,1,1,1,2,,
I understand. Was this to do with something that happened recently or a more distant event?,我明白。這與最近發生的事情或更遠的事件有關嗎？,2,2,1,2,2,,
Sorry to hear that. Was it a recent or a more distant event that caused this?,很抱歉聽到這個消息。是最近的事件還是更遠的事件導致了這種情況？,2,2,1,2,2,,
How do you feel after having taken this protocol?,服用此方案後你感覺如何？,1,1,0,1,1,,
"I am so sorry, I didn't mean to misjudge. Please select an emotion from the list below that best describes the way you are feeling:",很抱歉，我不是故意誤判的。請從下面的列表中選擇一種最能描述你的感受的情緒：,2,2,2,2,2,,
Do you feel like you are being judgmental towards yourself and always blame yourself in the face of adversity?,你是否覺得自己在評判自己，在逆境中總是責備自己？,2,2,1,2,2,,
Is there something personal you are currently going through?,你目前正在經歷一些私人的事情嗎？,0,0,0,0,1,,
Are you usually able to put yourself in the other person's shoes?,你通常能夠設身處地為他人著想嗎？,0,0,0,0,1,,
Are you open minded and able to listen to other people's ideas?,你思想開放，能夠傾聽別人的想法嗎？,0,0,0,0,0,,
Do you feel like you have let someone down?,你覺得你讓某人失望了嗎？,0,0,0,0,1,,
"Perhaps your stress stems from something difficult you are personally going through. Are you experiencing any difficulties with loved ones, or friends?",也許你的壓力源於你個人正在經歷的一些困難。你與親人或朋友有任何困難嗎？,2,2,2,1,2,,
"Thank you, I hope that was helpful to you. Could you tell me if you are feeling better or worse after taking this protocol?",謝謝，希望對你有幫助。你能告訴我你在服用這個練習後感覺好還是壞？,2,2,2,2,2,,
Thank you for your cooperation so far. May I ask if you feel obliged to rescue other people in your life from their own problems?,感謝你迄今為止的合作。請問你是否覺得有義務將生活中的其他人從他們自己的問題中解救出來？,2,2,1,2,2,,
How do you feel about the protocol? Did it help you feel better or did it have the opposite effect?,你覺得這個練習怎麼樣？它是幫助你感覺更好還是產生了相反的效果？,2,2,1,2,2,,
Do you feel like you have let someone down?,你覺得你讓某人失望了嗎？,0,0,0,0,1,,
See you soon.,再見。,0,0,0,0,0,,
That's so great to hear! I can suggest a protocol that works well for hanging on to positive feelings.,真是太好了！我可以建議一種可以很好地保持積極情緒的練習。,2,2,1,2,2,,
"I understand, thank you, then I'd like to dig a little deeper. Do you feel you are a victim in this regrettable situation?",我明白了，謝謝，那我想深入一點。在這種令人遺憾的情況下，你覺得自己是受害者嗎？,2,2,1,2,2,,
Would you say that the reason you're feeling these emotions is completely because of someone else?,你會說你感受到這些情緒的原因完全是因為其他人嗎？,1,1,1,0,2,,
Could it be that you are subconsciously trying to steer or guide another person's behaviour?,會不會是你潛意識地試圖引導或引導另一個人的行為？,1,1,1,1,2,,
"Sorry for the misunderstanding. Could you please select from the emotions below the one that best reflects what you are feeling, so I can understand it better?",很抱歉對於這個誤會。請你從下面的情緒中選出最能反映你的感受的情緒，以便我更好地理解它？,2,2,1,2,2,,
"That's ok, not everyone feels better after the first one. How about we try another one and see how we get on with that one?",沒關係，不是每個人都在第一次之後感覺更好。我們試試另一個怎麼樣，看看我們如何處理那個？,2,2,2,2,2,,
Are there any major issues or fallouts with the people you are closest to right now?,你現在最親近的人是否有任何重大問題或影響？,0,0,0,0,1,,
"I've had a think at what might suit you best. If you take a look at the options and let me know which protocol you would like to attempt, that would be great.",我已經考慮過什麼最適合你。如果你查看選項並讓我知道你想嘗試哪種練習，那就太好了。,1,1,1,0,2,,
I am sorry I misunderstood that. Could I ask that you choose from the list below the emotion that more accurately captures how you are feeling?,我很抱歉我誤解了這一點。我可以請你從下面的列表中選擇更準確地捕捉你的感受的情緒嗎？,2,2,2,1,2,,
"During a conversation, do you usually consider other people's point of view?",在談話中，你通常會考慮其他人的觀點嗎？,0,0,1,0,0,,
That can be rough. Do you think it might be linked to something that's happened?,那可能很粗糙。你認為這可能與發生的事情有關嗎？,2,2,2,1,2,,
I'm sorry you feel that way. Was this caused by something specific?,你覺得哪讓我覺得抱歉。這是由特定的東西引起的嗎？,1,1,1,1,2,,
Do you feel that someone else is to blame for your sadness?,你覺得別人應該為你的悲傷負責嗎？,1,1,0,1,1,,
May I ask if you have felt or expressed any of these emotions towards someone:,請問你是否對某人有過這些情緒或表達過這些情緒：,1,1,0,1,1,,
"Has this protocol changed how you feel, either for better or worse?",這個練習是否改變了你的感覺，無論是好是壞？,1,1,1,0,1,,
I am sorry this happened to you and wish to help. Could you please tell me if this event was recent or distant?,很抱歉這件事發生在你身上，希望能有所幫助。你能告訴我這個事件是最近發生的還是遙遠的？,2,2,2,2,2,,
"Thank you for your answer, I am always here to understand and help you, never to judge. Is it possible that you are trying to take charge of someone else's life?",謝謝你的回答，我總是在這裡理解和幫助你，從不評判。你有沒有可能試圖掌控別人的生活？,2,2,2,2,2,,
Thank you for sharing with me today. Come back to me anytime you want to talk.,謝謝你今天和我分享。想說話的時候隨時回來找我。,1,1,1,1,2,,
"I am sorry you are experiencing this negativity right now. If I may ask, and please be honest, would you say that you have always given full consideration to other people's viewpoints when these were presented to you?",很抱歉，你現在正在經歷這種消極情緒。如果我可以問，請老實說，你是不是說在向你提出這些觀點時，你總是充分考慮到其他人的觀點？,2,2,2,1,2,,
How do you feel after this protocol?,你在這個練習之後感覺如何？,0,0,0,0,0,,
Do you feel like someone is or was trying to hurt you?,你覺得有人正在或試圖傷害你嗎？,0,0,0,1,0,,
"If you don't mind me asking, I'd like to know if you blame others for these negative feelings that you are experiencing.",如果你不介意我問，我想知道你是否將這些負面情緒歸咎於他人。,1,1,1,1,0,,
"That's okay, thank you for letting me know. Do you feel you do not share any responsibility for this, and others are to blame for having hurt you?",沒關係，謝謝你讓我知道。你是否覺得自己對此不承擔任何責任，而傷害了你則應歸咎於他人？,2,2,2,1,2,,
"OK, thank you. Can you let me know is this something that has happened recently, or was it a while ago?",好的謝謝。你能告訴我這是最近發生的事情，還是不久前發生的事情？,1,1,0,1,1,,
I have some suggestions of some protocols that you can try. Please choose one to view now:,我有一些你可以嘗試的練習的建議。請選擇一個立即查看：,1,1,1,0,1,,
"I appreciate this may be new but try to go through this protocol now. When you finish, press the 'continue' button.",我很欣賞這可能是新的，但現在嘗試通過這個練習。完成後，按“繼續”按鈕。,2,2,2,1,2,,
"Was this recently, or did it happen some time ago?",這是最近發生的，還是前段時間發生的？,0,0,0,0,1,,
There are other protocols we could try instead. Would you be open to that?,我們可以嘗試其他練習。你會對此持開放態度嗎？,0,0,1,0,0,,
Are you experiencing any difficulties with your loved ones?,你和你愛的人有什麼困難嗎？,0,0,0,0,1,,
Would you like to try another protocol and see if it also makes you feel better?,你想嘗試另一種練習，看看它是否也能讓你感覺更好嗎？,1,1,1,0,1,,
Would you like to attempt another protocol instead?,你想嘗試其他練習嗎？,0,0,0,0,1,,
"I can see you may be feeling {}, is this accurate?",我可以看出你可能會感覺{}，這是準確的嗎？,0,0,0,0,1,,
May I ask if you always blame yourself for everything that goes wrong in your life?,請問你是否總是為生活中的所有問題而責備自己？,1,1,2,1,1,,
"Please take some time to go through the protocol now. When you are ready, please come back so we can continue.",請花一些時間現在通過練習。準備好後，請回來，以便我們繼續。,2,2,1,2,2,,
Are you able to listen to other people's perspectives?,你能傾聽別人的觀點嗎？,0,0,0,0,0,,
"Would you say that in previous conversations you have always listened to others' points of view, taking time to carefully consider their perspective?",你會不會說在之前的談話中你總是傾聽別人的觀點，花時間仔細考慮他們的觀點？,2,2,1,2,2,,
"I can identify with that. Now, are these feelings the result of an event that happened recently or a long time ago?",我可以認同這一點。現在，這些感覺是最近發生的事件還是很久以前發生的事件的結果？,2,2,2,2,2,,
"Is there a power struggle involved, between you and one or more people in your life, where someone needs to win?",你和你生活中的一個或多個人之間是否存在權力鬥爭，需要有人獲勝？,0,0,0,0,1,,
"Sorry to hear it, well done for getting through it. If you would like to try another protocol to see if this suits you better, there are other options for you.",很抱歉聽到它，很好地完成了它。如果你想嘗試其他練習，看看這是否更適合你，還有其他選擇。,2,2,2,2,2,,
"The exercises in Protocol 11 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in Protocol 11 and find them difficult or traumatic?",練習 11 中的練習對某些人來說可能很困難，所以我想知道它們是否適合你。你是否嘗試過練習 11 中的練習並發現它們困難或痛苦？,2,2,2,1,2,,
Do you always blame yourself for any problem?,你總是為任何問題責備自己嗎？,0,0,0,0,0,,
"Did this happen recently, or is it something that's been preying on your mind for a while?",這種情況是最近發生的，還是一直困擾你一段時間的事情？,1,1,1,1,2,,
Is anyone to blame for the ailments you've been feeling?,有人要為你所感受到的疾病負責嗎？,0,0,0,0,1,,
I would like to know if you are always feeling responsible when something bad happens.,我想知道當發生不好的事情時，你是否總是感到有責任感。,0,0,1,0,0,,
I'm sorry to hear that. Should we perhaps try another?,我很遺憾聽到這個消息。我們也許應該嘗試另一個？,2,2,1,2,2,,
"Feeling strong emotions towards others is quite normal, I'm not here to judge you for it. Have you felt or expressed any of the following emotions towards others:",對別人有強烈的情緒是很正常的，我不是來評判你的。你是否對他人有過以下情緒或表達過以下任何一種情緒：,2,2,2,2,2,,
How do you feel after doing this protocol? I hope it has helped.,完成這個練習後你感覺如何？我希望它有所幫助。,2,2,1,2,2,,
"I see. So you are feeling {}, is that correct?",我懂了。所以你感覺{}，對嗎？,0,0,0,0,1,,
"Did that help to make you feel better, or not really?",這有助於讓你感覺更好，還是真的沒有？,0,0,0,0,1,,
Thank you for your patience today. See you soon!,感謝你今天的耐心等待。再見！,1,1,1,0,1,,
Did you do Protocol 6 and did it make you feel worse?,你是否執行了練習 6，是否讓你感覺更糟？,0,0,0,0,1,,
That's tough. Was that recent or did it happen a while ago? Either way your feelings are completely valid.,這很難。這是最近發生的還是不久前發生的？無論哪種方式，你的感受都是完全正確的。,2,2,2,2,2,,
"Do you always feel like you're the one at fault, even when perhaps you shouldn't?",你是否總是覺得自己是一個過錯的人，即使你不應該這樣做？,2,2,1,2,2,,
Do you feel you're a victim?,你覺得你是受害者嗎？,0,0,0,0,1,,
Do you think that you need to be the saviour of anyone else?,你認為你需要成為別人的救世主嗎？,0,0,0,0,1,,
"Thank you for letting me know. Do you believe you have explored all of your options, including those that may have been suggested to you by other people?",謝謝你讓我知道。你是否相信你已經探索了所有的選擇，包括其他人可能向你建議的選擇？,2,2,2,1,2,,
"In all honesty, do you think that you are always available to consider alternatives to your point of view?",老實說，你認為你總是可以考慮替代你的觀點嗎？,1,1,1,1,2,,
Do you feel like someone needs your help?,你覺得有人需要你的幫助嗎？,0,0,0,0,1,,
Is there something in particular that is causing you to feel this way?,有沒有什麼特別的東西讓你有這種感覺？,0,0,0,0,1,,
Is this something that happened recently or a longer time ago?,這是最近發生的事情還是很久以前發生的事情？,0,0,0,1,0,,
"Sometimes we can reflect feelings of envy, greed, jealousy, hatred or malevolence upon others, and past mistrust can lead to thoughts of revengefulness, but be reassured that all of these emotions are perfectly normal to feel. Do you think you could perhaps be feeling any of these emotions:",有時我們可以將嫉妒、貪婪、嫉妒、仇恨或惡意的情緒反映在他人身上，過去的不信任會導致報復的想法，但請放心，所有這些情緒都是完全正常的感受。你是否認為你可能會感受到以下任何一種情緒：,2,2,2,2,2,,
"Ok, here are my suggestions. You can choose whichever protocol you feel would work best for you right now.",好的，這是我的建議。你可以選擇你認為現在最適合你的任何練習。,0,0,1,0,0,,
Do you think that you need to be the saviour of anyone else?,你認為你需要成為別人的救世主嗎？,0,0,0,0,1,,
I can recommend some protocols that might help. Feel free to choose from these protocols the one you prefer.,我可以推薦一些可能有幫助的練習。隨意從這些練習中選擇你喜歡的練習。,1,1,1,0,2,,
Is there someone around you or in your life that you are trying to control?,在你身邊或你的生活中，有沒有你想要控制的人？,0,0,0,0,1,,
"Do you think that this situation, and the people in it, are something that you're trying to dominate?",你認為這種情況，以及其中的人，是你試圖控制的東西嗎？,1,1,1,0,1,,
Other people you have communicated with may have offered a few suggestions. Were any of the suggestions made by others regarding your current situation helpful to you?,你與之交流過的其他人可能提供了一些建議。其他人就你目前的情況提出的任何建議對你有幫助嗎？,2,2,2,1,2,,
"Did you notice if there were unbearable emotions that came up from attempting Protocol 6 (if you have attempted it), due to past events?",你是否注意到由於過去的事件，嘗試練習 6（如果你嘗試過）是否會產生難以忍受的情緒？,2,2,1,2,2,,
Thank you. Would you say that you are facing a hard time in your personal life?,謝謝你。你會說你在個人生活中面臨困難嗎？,1,1,1,1,2,,
Could you tell me if you are feeling better or worse after taking this protocol?,你能告訴我你在服用這個練習後感覺好還是壞？,1,1,1,2,1,,
"I hope you don't mind me asking, but are you facing a difficult time?",我希望你不介意我問，但你正面臨困難時期嗎？,1,1,1,1,2,,
"I understand, thank you. Would you say this event happened quite recently, or are you remembering something from the more distant past?",我明白了，謝謝。你會說這件事發生在最近，還是你還記得更遠的過去？,2,2,2,1,2,,
"Thank you so much for your honesty and efforts today, much appreciated. See you again soon!",非常感謝你今天的誠實和努力，非常感謝。很快再見！,2,2,2,2,2,,
"I'm terribly sorry you are dealing with difficult emotions. Do you feel, perhaps, that you should be saving someone else in your life?",我非常抱歉你正在處理困難的情緒。你覺得，也許，你應該在你的生活中拯救別人嗎？,2,2,1,2,2,,
"Oh, that's not good. Was there something that triggered this feeling?",哦，那不好。是不是有什麼東西引發了這種感覺？,2,2,2,1,2,,
"Thank you for sharing your emotions with me, I understand it may be hard to deal with them right now. So that I can help you better, could you tell me if a specific event caused you to feel this way?",感謝你與我分享你的情緒，我知道現在可能很難處理它們。為了讓我能更好地幫助你，你能告訴我某個特定事件是否讓你有這種感覺嗎？,2,2,2,2,2,,
"Thank you. I'd like to know if you may be undergoing a particularly difficult moment, due to problems with friends or family.",謝謝你。我想知道你是否因為與朋友或家人的問題而正在經歷一個特別困難的時刻。,2,2,1,2,2,,
Thank you for your time. I'm sure we'll cross paths again!,感謝你的時間。我相信我們會再次相遇！,1,1,1,0,1,,
Has this feeling arisen because of a recent or distant event?,這種感覺是由於最近或遙遠的事件而產生的嗎？,0,0,1,0,0,,
How are you feeling after having taken the protocol?,接受練習後感覺如何？,0,0,0,0,1,,
Do you think this helped you feel better or made you feel worse?,你認為這有助於你感覺更好還是讓你感覺更糟？,0,0,0,0,1,,
Please let me know which one you would like to attempt.,請讓我知道你想嘗試哪一個。,0,0,0,0,1,,
Do you think going through another protocol could help?,你認為通過另一個練習會有所幫助嗎？,1,1,1,0,1,,
Is the reason for this feeling something that happened in your younger days or more recently?,這種感覺的原因是在你年輕的時候還是最近發生的？,1,1,2,1,1,,
Do you feel a need to control others?,你覺得有必要控制別人嗎？,0,0,0,0,0,,
May I recommend a therapeutic protocol to enhance your positive feelings?,我可以推薦一個治療方案來增強你的積極情緒嗎？,1,1,1,2,1,,
See you later!,回頭見！,0,0,0,0,0,,
"Now you have tried this protocol and reached the end, do you feel better or worse about your situation?",現在你已經嘗試了這個練習並到達了終點，你對你的情況感覺更好還是更糟？,1,1,1,0,1,,
I'm very sorry to hear that. Would you be up to attempting another protocol?,我很遺憾聽到這個消息。你願意嘗試另一個練習嗎？,2,2,1,2,2,,
Are you experiencing any difficulties with your loved ones?,你和你愛的人有什麼困難嗎？,0,0,0,0,1,,
"Have you had a personal issue with friends or loved ones lately, a falling out, perhaps, or have you had family issues?",你最近是否與朋友或親人有過私人問題，可能是吵架，或者你是否有家庭問題？,1,1,1,1,2,,
"Thank you for your trust, please help me understand better. Would you say that, in previous conversations, you have always been willing to listen to other people's views and opinions?",感謝你的信任，請幫助我更好地理解。你會不會說，在之前的談話中，你一直都願意傾聽別人的看法和意見？,2,2,1,2,2,,
Do you consider yourself to be a victim of someone else's actions?,你認為自己是別人行為的受害者嗎？,0,0,0,0,1,,
I'm sorry that hasn't helped. Shall we try another?,我很抱歉這沒有幫助。我們再試試？,1,1,0,1,2,,
"When looking at your situation, are you always blaming and accusing yourself for what is going on?",在審視自己的處境時，你是否總是為正在發生的事情自責和指責自己？,0,0,1,0,0,,
"I'm sorry, sometimes it's hard to know how someone is feeling behind a keyboard. Instead, do you mind choosing an emotion from this list which is more suitable for your current state?",對不起，有時很難知道有人在鍵盤後面的感受。相反，你介意從這個列表中選擇一種更適合你當前狀態的情緒嗎？,2,2,2,1,2,,
"Thanks for your selection! I would appreciate it if you could try to go through this protocol now. Once you are done, you can come back and press the 'continue' button.",感謝你的選擇！如果你現在可以嘗試通過此練習，我將不勝感激。完成後，你可以返回並按“繼續”按鈕。,2,2,1,2,2,,
"I would like to ask how you feel about the protocol, and whether it has helped you. Do you feel better, or has it actually made you feel worse?",我想問一下你對該練習的看法，以及它是否對你有所幫助。你感覺好多了，還是真的讓你感覺更糟了？,2,2,2,1,2,,
