response,empathy_score,fluency_score,sentiment_score
我想知道呢種唔開心係咪有更深層嘅原因。你嘅生活入面係咪發生咗一件重大事件、危機或者係你關心嘅人發生咗問題？,1,0.23,0.722848553
我想知道你嘅唔開心係咪會被突然觸發。你最近係生活入面有冇遇到困難？,0.5,0.17,0.966992359
你而家係咪有可能正係經歷緊一D特別困難嘅嘢，呢個對你嘅生活產生咗嚴重嘅影響？,1,0.12,0.782287361
好遺憾聽到你嘅麻煩，你而家係咪同親人嘅相處遇到困難？,0.5,0.09,0.841475636
I'm sorry，我想知道你最近生活入面係咪發生咗咩重大問題？,0.5,0.19,0.785732181
你會話你而家正係經歷緊個人創傷，可能涉及你嘅親人或朋友嗎？,0.5,0.12,0.610171615
多謝你嘅答覆。如果你唔介意我問吓，你而家正係經歷緊個人危機嗎？你嘅人際關係或者其他嘢有冇遇到D咩困難？,0.5,0.11,0.624890392
如果你唔介意我問，你係咪覺得你同朋友、家人或親人遇到咗一D控制唔到嘅問題？,1,0.15,0.738381561
Thank you 你對我坦白，我想幫你釋放負面嘅諗法。係咪因為同家人或親人嘅問題，所以你而家覺得好辛苦？,1,0.15,0.597644996
我想問吓你，你係咪經歷緊個人危機，係關於你生活入面嘅而且其他人係處理唔到嘅問題？,0.5,0.17,0.610171615
我想知道呢種唔開心係咪有更深層嘅原因。你嘅生活入面係咪發生咗一件重大事件、危機或者係你關心嘅人發生咗問題？,1,0.23,0.409870976
我想知道你嘅唔開心係咪會被突然觸發。你最近係生活入面有冇遇到困難？,0.5,0.17,0.383940874
你而家係咪有可能正係經歷緊一D特別困難嘅嘢，呢個對你嘅生活產生咗嚴重嘅影響？,1,0.12,0.922021796
好遺憾聽到你嘅麻煩，你而家係咪同親人嘅相處遇到困難？,0.5,0.09,0.912877364
I'm sorry，我想知道你最近生活入面係咪發生咗咩重大問題？,0.5,0.19,0.977765251
你會話你而家正係經歷緊個人創傷，可能涉及你嘅親人或朋友嗎？,0.5,0.12,0.961167481
多謝你嘅答覆。如果你唔介意我問吓，你而家正係經歷緊個人危機嗎？你嘅人際關係或者其他嘢有冇遇到D咩困難？,0.5,0.11,0.57365652
如果你唔介意我問，你係咪覺得你同朋友、家人或親人遇到咗一D控制唔到嘅問題？,1,0.15,0.769384943
Thank you 你對我坦白，我想幫你釋放負面嘅諗法。係咪因為同家人或親人嘅問題，所以你而家覺得好辛苦？,1,0.15,0.777339346
我想問吓你，你係咪經歷緊個人危機，係關於你生活入面嘅而且其他人係處理唔到嘅問題？,0.5,0.17,0.979205812
我想知道呢種唔開心係咪有更深層嘅原因。你嘅生活入面係咪發生咗一件重大事件、危機或者係你關心嘅人發生咗問題？,1,0.23,0.796567706
我想知道你嘅唔開心係咪會被突然觸發。你最近係生活入面有冇遇到困難？,0.5,0.17,0.790179131
你而家係咪有可能正係經歷緊一D特別困難嘅嘢，呢個對你嘅生活產生咗嚴重嘅影響？,1,0.12,0.947012401
好遺憾聽到你嘅麻煩，你而家係咪同親人嘅相處遇到困難？,0.5,0.09,0.913754228
I'm sorry，我想知道你最近生活入面係咪發生咗咩重大問題？,0.5,0.19,0.932919955
你會話你而家正係經歷緊個人創傷，可能涉及你嘅親人或朋友嗎？,0.5,0.12,0.884755105
多謝你嘅答覆。如果你唔介意我問吓，你而家正係經歷緊個人危機嗎？你嘅人際關係或者其他嘢有冇遇到D咩困難？,0.5,0.11,0.87554804
如果你唔介意我問，你係咪覺得你同朋友、家人或親人遇到咗一D控制唔到嘅問題？,1,0.15,0.92815984
Thank you 你對我坦白，我想幫你釋放負面嘅諗法。係咪因為同家人或親人嘅問題，所以你而家覺得好辛苦？,1,0.15,0.930226732
我想問吓你，你係咪經歷緊個人危機，係關於你生活入面嘅而且其他人係處理唔到嘅問題？,0.5,0.17,0.783352123
我想知道呢種唔開心係咪有更深層嘅原因。你嘅生活入面係咪發生咗一件重大事件、危機或者係你關心嘅人發生咗問題？,1,0.23,0.994989352
我想知道你嘅唔開心係咪會被突然觸發。你最近係生活入面有冇遇到困難？,0.5,0.17,0.975134661
你而家係咪有可能正係經歷緊一D特別困難嘅嘢，呢個對你嘅生活產生咗嚴重嘅影響？,1,0.12,0.945008142
好遺憾聽到你嘅麻煩，你而家係咪同親人嘅相處遇到困難？,0.5,0.09,0.961167481
I'm sorry，我想知道你最近生活入面係咪發生咗咩重大問題？,0.5,0.19,0.782036828
你會話你而家正係經歷緊個人創傷，可能涉及你嘅親人或朋友嗎？,0.5,0.12,0.769384943
多謝你嘅答覆。如果你唔介意我問吓，你而家正係經歷緊個人危機嗎？你嘅人際關係或者其他嘢有冇遇到D咩困難？,0.5,0.11,0.966867093
如果你唔介意我問，你係咪覺得你同朋友、家人或親人遇到咗一D控制唔到嘅問題？,1,0.15,0.956156833
Thank you 你對我坦白，我想幫你釋放負面嘅諗法。係咪因為同家人或親人嘅問題，所以你而家覺得好辛苦？,1,0.15,0.982775899
我想問吓你，你係咪經歷緊個人危機，係關於你生活入面嘅而且其他人係處理唔到嘅問題？,0.5,0.17,0.963359639
我想知道呢種唔開心係咪有更深層嘅原因。你嘅生活入面係咪發生咗一件重大事件、危機或者係你關心嘅人發生咗問題？,1,0.23,0.796567706
,,,
Thank you！我知道你而家好嬲，但如果你可以話俾我知更多，將會對我好有幫助。係咪發生咗咩特別嘅事令到你咁嬲？,1,0.22,0.65883753
我明白了，Thank you 你對我坦白。係唔係發生了咩事導致你有咁嘅情緒？,0.5,0.14,0.767756483
我好遺憾聽到你覺得咁樣，呢個係我地所有人有時都會經歷嘅嘢。你可唔可以話俾我知呢個感覺係咪嚟自咩特定嘅事件？,1,0.16,0.956657898
我好遺憾聽到。係你嘅腦海中係咪有令你有呢種感覺嘅特別事件？,1,0.1,0.913942127
我可以問你係咪有一個事件令你有呢種感覺？,0.5,0.19,0.84398096
好遺憾你有呢種感覺，我想知道更多關於發生咗嘅嘢。呢個係由一件特別嘅事件引起嘅？,1,0.12,0.794125016
Oh 我好遺憾聽到你覺得咁樣，我想了解更多係咩令你有呢種感覺。係因為某個特定嘅事件嗎？,1,0.13,0.383940874
Thank you ，我想更好咁了解正係發生嘅嘢。請話俾我知，呢個係由一件特別嘅事件引起嘅？,1,0.15,0.952712013
明白了，Thank you 分享。有冇發生咩令你有呢種感覺嘅具體事情？,0.5,0.1,0.933796818
我明白了，Thank you 你同我分享你嘅感受，我想知道更多發生咗嘅嘢。呢個係由特定原因引起嘅？,1,0.18,0.980395841
我睇得出你好嬲。你可以諗到引發呢啲感受嘅具體事件嗎？,0.5,0.15,0.933796818
我理解，好遺憾你有呢種感覺。呢個係由一件特別嘅事件引起嘅？,1,0.14,0.878804961
Oh 我好遺憾。有咩特別事情令你有呢種感覺嘅？,0.5,0.07,0.931855192
Thank you ，如果你可以詳細咁講吓你覺得咁嬲嘅原因，咁就好啦！係特別事件造成嘅？,0.5,0.14,0.960227984
有呢種感覺完全冇問題。請問呢個係咪係由一件特別嘅事件引起嘅？,1,0.15,0.969435049
多謝你同我分享你嘅感受，即使而家對你嚟講可能好難。你認為你嘅感覺可能係由某件特定嘅事情引起嘅？,1,0.19,0.963923337
Oh no！係唔係有咩東西觸發了呢種感覺？,0.5,0.09,0.979331079
Thank you！我明白而家處理呢種感覺係好難，希望我可以幫你感覺更好。你可以話俾我知係咪有特定嘅事件令你有呢種感覺？,1,0.27,0.962044344
我好遺憾聽到你感覺唔舒服。係咪有咩特別嘅嘢令你有呢種感覺？,1,0.11,0.956031567
我好遺憾聽到你有呢種感受。係唔係有咩特別嘅嘢導致了呢種感覺？,1,0.12,0.9648002
我好遺憾聽到你有呢種感受。你揾唔揾到令你有呢種感覺嘅具體事件？,1,0.18,0.978516848
我明白。係咪發生咗咩特別嘅事令到你有呢種感覺？,0.5,0.13,0.943504948
我好遺憾聽到你有呢種感受。會唔會係因爲某件事？,0.5,0.09,0.922021796
我好遺憾聽到你感到嬲。你知道係乜嘢導致到呢種嬲嘅感覺，係一個特別事件？,1,0.12,0.972754604
如果你唔介意分享，你係咪因為某個特別事件而有呢種感覺？,0.5,0.18,0.933796818
聽到你好難過，我好遺憾。有咩事情令你嬲嗎？,0.5,0.11,0.889076788
你可以話俾我知係咪有特定嘅嘢令你有呢種感覺？,0.5,0.16,0.848553175
我好遺憾聽到你有呢種感覺。你可以話俾我知係咪有特定嘅事件導致咗呢種感覺？,1,0.17,0.945383941
Oh 聽到呢個我好遺憾。係有特定情況導致？,1,0.08,0.933796818
聼到呢個我好遺憾，我可以理解。係咪有導致呢種情況嘅事件？,1,0.15,0.963046474
我好遺憾聽到。你可以話俾我知佢係咪由特別事件引起？,0.5,0.12,0.958161092
我好遺憾聽到你有呢種感受。你可以諗到導致呢種情況發生嘅具體原因嗎？,1,0.14,0.967242891
多謝你同我分享你嘅情緒，我知道而家可能好難處理佢地。為咗我可以更好咁幫你，你可以話俾我知係咪有具體嘅事件令你有呢種感覺？,1,0.23,0.950269322
多謝你俾我知道，我好遺憾你有呢種感覺。請問呢種感覺係唔係有咩特殊原因導致？,1,0.22,0.966867093
Oh 我好遺憾聽到呢個消息。係某D事情造成嘅？,0.5,0.07,0.962044344
我好遺憾聽到呢個消息。係咪有特定事件導致你有呢種感覺？,1,0.12,0.979017913
我好遺憾聽到呢個消息。有冇咩特別事情令你有呢種感覺？,0.5,0.11,0.953902042
我好遺憾聽到呢個消息。有冇發生咩事令你有呢種感覺？,0.5,0.1,0.969497683
我好遺憾聽到呢個消息。係唔係有咩特別嘅嘢導致了呢種感覺？,1,0.11,0.979957409
我好遺憾聽到你今覺得覺嬲。係咩特定嘅事件令你有呢種感覺？,0.5,0.09,0.383940874
我好遺憾聽到你感覺嬲。有冇咩特別嘅嘢令你有呢種感覺？,0.5,0.08,0.839220844
聽到呢件事我好遺憾，係咪有某D事情導致？,0.5,0.09,0.741387949
我好遺憾聽到呢個消息。係咪有特定事件導致你有呢種感覺？,1,0.12,0.635663284
我好遺憾聽到呢個消息。會唔會係因爲某件事？,0.5,0.09,0.72360015
聽到你感覺唔舒服，我好遺憾，係咪有咩特別嘅嘢令你有呢種感覺？,1,0.15,0.692471502
聽到你感覺唔舒服，我好遺憾，係咪有咩特別嘅嘢令你有呢種感覺？,1,0.15,0.814731304
聽到你感覺唔舒服，我好遺憾，係唔係有咩特別嘅嘢令你有呢種感覺？,1,0.15,0.659777026
作為你嘅朋友，你可以隨時話俾我知任何事情，我會盡我所能幫你。你可唔可以話俾我知係咪發生咗咩令你有呢種感覺嘅嘢嗎？,1,0.23,0.904797695
我了解你感到嬲。你可以話俾我知更多嗎？嬲嘅感覺係由一個定係多個特別事件引起嘅？,0.5,0.23,0.863084054
我明白你嘅感受。為咗可以支持你，你可唔可以話俾我知係咪有一個特定嘅事件引起咗你嘅感受？,1,0.26,0.800576224
我了解你可能感到嬲，如果你可以提供更多信息，咁就好啦！你認為呢個可能同任何特別事件有關嗎？,1,0.32,0.583239384
我好遺憾聽到你有呢種感受。係咪有特定嘅事件令你有呢種感覺？,1,0.14,0.889389954
你嘅感受係完全正常嘅，我理解並願意提供幫助。你認為呢個係由咩特定原因引起嘅？,1,0.19,0.882750846
我好遺憾聽到你有呢種感受。係咪有咩特別嘅事發生咗令你有呢種感覺嘅？,1,0.15,0.899098083
我知道你而家嘅感覺係唔好嘅。你認為你嘅感受同任何特別事件有關嗎？,1,0.2,0.692471502
好遺憾聽到你有呢種感覺。我知道呢個可能好難傾吓，但係咪有特別事件導致咗呢種情況？,1,0.16,0.665601904
Oh 好遺憾聽到佢。係唔係發生咗咩事而觸發咗呢個感覺？,0.5,0.11,0.844356758
你認為佢可能同發生咗嘅嘢有關？,0.5,0.09,0.703745459
知道你覺得嬲，我深表遺憾。係唔係發生咗咩事情引發起呢個嬲嘅情緒？,1,0.16,0.659777026
如果你覺得Ok，你可唔可以話俾我知呢種感覺係咪嚟自發生咗嘅某D事情嗎？,0.5,0.15,0.862708255
我希望你可以應付到。你介唔介意我問你係咪有特定嘅事件或問題引起了你嘅嬲？,1,0.19,0.692471502
Oh no！呢個同任何發生了嘅事件有關嗎？,0.5,0.07,0.83427283
聽到你感覺唔太好我好遺憾。有發生過咩事情令你有呢種感覺？,0.5,0.17,0.926218214
我諗如果我地可以傾吓係咩令你有呢種感覺可能會有幫助。係唔係某個特定嘅事件令你感到嬲？,1,0.16,0.816610297
好遺憾聽到你而家正係經歷呢個。係咪有咩特別事件導致咗呢種情況？我希望我可以做D嘢嚟幫手。,1,0.15,0.782851058
好遺憾聽到你有呢種感覺，有呢種感覺係冇問題嘅，你並唔孤單。今日有咩特別嘅嘢令你有呢種感覺？,1,0.25,0.775335087
我好遺憾聽到你今日感覺唔太好。係唔係有咩特別嘅嘢令你有呢種感覺？,1,0.13,0.742139547
Oh 好遺憾聽到你感到嬲。呢種感覺係由你無辦法控制嘅嘢引起嘅？,1,0.13,0.933796818
我意識到你對某件事感到嬲並希望提供幫助。你認為係唔係有咩具體嘅、已經發生嘅嘢導致了呢種感覺？,1,0.17,0.879118126
好遺憾聽到你今日感到嬲，呢個對你嚟講一定好難。你今日有呢種感覺，有咩特別嘅原因嗎，係唔係發生咗咩事？,1,0.18,0.896029062
我好遺憾聽到你有呢種感受，我可以理解。有冇咩特別嘅嘢令你有呢種感覺？,1,0.17,0.679193286
我可以幫你減輕你嘅嬲，你可以諗到可能導致佢嘅具體事件嗎？,1,0.16,0.383940874
Oh 我地都有過咁樣嘅感受，所以我理解。係唔係有D咩特別嘅嘢引起咗你嘅感受？唔使擔心，我地會解決佢嘅。,1,0.19,0.272516598
好遺憾你而家感到嬲，我想盡我所能提供幫助。我希望你唔介意我問，但有冇特別發生嘅嘢？,1,0.15,0.759363648
,,,
多謝你嘅意見，好遺憾聽到你正係經歷緊呢種事情。你可以話俾我知呢個係由最近定係係以前嘅嘢引起嘅？,1,0.18,0.464111236
我想了解你嘅情況。你可唔可以話俾我知呢件事係最近發生嘅定係係好耐之前？,1,0.15,0.596893398
我完全理解你為咩會有呢種感覺。為咗幫你，我需要知道呢個係最近發生嘅定係係前一段時間發生嘅。,1,0.26,0.803895779
Thank you 你嘅回覆，我真係好想幫手。你可以話俾我知呢個係由最近嘅事件定係係以前嘅事件引起嘅？,1,0.2,0.596893398
好嘅，我可以理解。你有呢種感覺係因為最近或者過去發生嘅某件事？,0.5,0.15,0.634661155
或者你可以話俾我知係最近發生嘅嘢令你有呢種感覺，定係係以前嘅嘢？,1,0.16,0.72360015
Thank you 你嘅回答，我可以理解。你會話呢件事或令你感到嬲嘅事件發生係最近定係過去嗎？,1,0.17,0.68251284
聼到呢個我好遺憾。係最近發生嘅定係係過去發生嘅事件導致咗呢種情況？,1,0.15,0.198546912
我明白了，Thank you 你話俾我知。請問，呢件事引起你嘅嬲係以前嘅定係係最近嘅？,1,0.17,0.213829387
我想問吓你，呢個感覺係最近定係係好耐之前發生嘅嘢所引至嘅？,0.5,0.13,0.24220218
Thank you ，我明白啦！你可以話俾我知呢個係最近發生嘅嘢定係係前一陣子發生嘅嘢嗎？我希望你冇因為呢件事而受到太多傷害。,0.5,0.2,0.746523863
你而家一定好痛。你可以分享一吓呢個事件係最近發生嘅定係係好耐之前嘅？,1,0.15,0.24220218
明白了，Thank you 分享。呢個係最近發生嘅定係係以前嘅事件？,0.5,0.1,0.596893398
了解你呢個問題發生嘅時間好重要。請問呢個係最近發生嘅事件定係係以前嘅事件？,1,0.32,0.856382312
Thank you ，我想知道你認爲你生活中嘅咩事件引發咗呢種感覺？呢個係最近發生嘅事件定係係好耐之前？,1,0.16,0.596893398
有呢種感覺係可以嘅。呢個事件係最近發生嘅定係好耐之前發生嘅？,1,0.13,0.596893398
對唔住，咁一定好難受。係最近發生嘅嘢定係係好耐以前發生嘅嘢？,1,0.17,0.76750595
明白了，Thank you 分享。你會話呢個係最近發生嘅定係係以前嘅事件？咁樣我先可以更清楚了解。,0.5,0.18,0.540523613
我好遺憾聽到你有呢種感受。係咪有一D最近發生嘅事件令到你有呢種感覺，定係係好耐之前發生嘅事？,1,0.17,0.540523613
我好遺憾聽到你有呢種感受。我可唔可以問吓係唔係由最近定係以前嘅事件引起嘅？,1,0.15,0.68251284
非常多謝你俾我知道。你會話係最近定係以前嘅事件引起咗呢種情緒？,1,0.19,0.096580233
我明白了，Thank you ！呢個事件係最近嘅定係好耐之前嘅？唔理點都好啦，我希望呢個對你嚟講冇太大創傷。,0.5,0.15,0.198546912
我明白。呢個同最近發生嘅嘢定係好耐之前嘅事件有關？,0.5,0.12,0.257234123
我明白了，Thank you ！你會話呢件事發生係最近，定係係你記憶入面好耐之前？,0.5,0.15,0.025742202
多謝你嘅意見，好遺憾聽到你正係經歷緊呢種事情。你可以話俾我知呢個係由最近定係係以前嘅嘢引起嘅？,1,0.18,0.272516598
我想了解你嘅情況。你可唔可以話俾我知呢件事係最近發生嘅定係係好耐之前？,1,0.15,0.583239384
我完全理解你為咩會有呢種感覺。為咗幫你，我需要知道呢個係最近發生嘅定係係前一段時間發生嘅。,1,0.26,0.184642365
Thank you 你嘅回覆，我真係好想幫手。你可以話俾我知呢個係由最近嘅事件定係係由以前嘅事件引起嘅？,1,0.2,0.198546912
好嘅，我可以理解。你有呢種感覺係因為最近或者過去發生嘅某件事？,0.5,0.15,0.569334837
或者你可以話俾我知係最近發生嘅嘢令你有呢種感覺，定係係以前嘅嘢？,1,0.16,0.383940874
Thank you 你嘅回答，我可以理解。你會話呢件事或令你感到嬲嘅事件發生係最近定係過去嗎？,1,0.17,0.659777026
聼到呢個我好遺憾。係最近發生嘅定係係過去發生嘅事件導致咗呢種情況？,1,0.15,0.495365151
我明白了，Thank you 你話俾我知。請問，呢件事引起你嘅嬲係以前嘅定係係最近嘅？,1,0.17,0.671301516
咁呢個係最近發生嘅事定係好耐之前發生嘅事？,0,0.16,0.629399975
我明白。你可唔可以話俾我知呢件事發生嘅時間，咁我可以進一步了解係咩令你感到嬲，係最近嘅定係係以前嘅？,1,0.22,0.733057748
Thank you ，你可以話俾我知，呢個係最近發生嘅定係係以前嘅事？,0.5,0.11,0.889640486
多謝你嘅分享。呢件事係最近發生嘅定係係已經有一段時間？,0.5,0.14,0.733057748
我好遺憾聽到呢件事發生係你身上。呢個係最近發生嘅定係好耐之前發生嘅？,1,0.14,0.797131404
我知道傾呢D事可能好難，所以Thank you 你對我坦白。我想知更多關於呢件事係咩時候發生嘅，係最近發生嘅嘢定係係過去發生嘅嘢？,1,0.21,0.635663284
我好遺憾聽到呢個消息，希望你唔介意同我分享佢發生嘅時間。係最近嘅定係係以前嘅？,1,0.13,0.416259552
好嘅，Thank you ，我好開心你可以好自在咁傾呢個。呢件事係最近定係係前一段時間發生而令到你覺得嬲？,1,0.14,0.351622197
我好遺憾聽到你有呢種感受，我希望你唔介意進一步詳細講。呢個係最近發生嘅，定係係好耐之前發生嘅？,1,0.16,0.303770512
我知道呢個對你嚟講可能好難。我想問吓，係最近發生嘅嘢定係係前一段時間發生嘅嘢？,1,0.23,0.495365151
請幫助我進一步了解。呢個係最近發生嘅事定係好耐之前？,1,0.11,0.733057748
好嘅，大聲講出嚟係好嘅第一步。你可以諗到令你有呢種感覺嘅事件係最近發生嘅定係係過去發生嘅？,0.5,0.18,0.635663284
多謝你嘅分享。你可以話俾我知呢件事發生並引起你嬲嘅嘢係最近發生嘅定係好耐之前？,1,0.16,0.763434799
呢個係最近發生嘅事件定係係前一段時間發生嘅嘢？,0,0.17,0.733057748
Oh 聽到呢個我好遺憾。呢個係最近發生嘅定係係以前嘅？,1,0.13,0.733057748
好嘅，Thank you 你話俾我知。呢件事係冇幾耐之前發生嘅，定係係最近發生嘅？,0.5,0.13,0.844356758
我好遺憾呢件事發生係你身上。呢個係最近發生嘅定係係前一段時間發生嘅？,1,0.15,0.822560441
我希望你唔介意傾吓佢。呢個係最近令你覺得嬲嘅嘢嘅嘢定係已經發生咗好耐？,1,0.1,0.889640486
我想知道，呢個事件係最近發生嘅，定係好耐之前？,0,0.15,0.759363648
明白，我好遺憾聽到呢個消息。呢個感覺係關最近發生嘅嘢，定係係好耐之前發生嘅？,1,0.16,0.839220844
呢個係好耐以前發生嘅，定係係最近發生嘅？,0,0.17,0.797131404
呢個發生係幾耐之前？,0,0.04,0.303770512
你可唔可以話俾我知呢個或呢D事件係最近發生嘅定係係過去發生嘅？,0.5,0.18,0.416259552
我好遺憾聽到你覺得咁樣。呢個係咩時候發生嘅，最近定係係好耐之前？,0.5,0.11,0.416259552
發生嘅嘢係最近發生嘅定係係好耐以前發生嘅？,0,0.19,0.555054491
你介唔介意話俾我知呢個係咩時候發生嘅，係最近發生嘅定係係好耐之前嘅？,0.5,0.21,0.907553551
我明白了，Thank you ！呢個事件係最近發生嘅定係好耐之前發生嘅？,0.5,0.13,0.75516723
我好對唔住聽到呢個消息，我希望你唔介意進一步詳細講。呢個係最近發生嘅，定係係過去？,1,0.15,0.822560441
你回憶呢件事係發生係過去嘅嘢定係係最近嘅嘢？,0.5,0.14,0.383940874
呢個係最近發生嘅事件定係係遙遠嘅事件？,0,0.13,0.967994488
呢個係最近發生嘅，定係係前段時間發生嘅？,0,0.2,0.931980458
呢個係最近嘅定係係好耐之前嘅？,0,0.1,0.963923337
Oh 咁一定好難受。呢個係最近嘅定係係好耐之前嘅？,1,0.08,0.97269197
佢係最近發生嘅，定係係過去嘅事件仲係影響緊你？,0,0.11,0.963860704
呢件事係最近發生嘅，定係過去？,0,0.09,0.982901165
呢個係最近發生嘅嘢，定係仍然係你腦海入面過去嘅嘢？,0.5,0.16,0.943504948
你而家一定好痛。你可以分享一吓呢個事件係最近嘅定係係好耐以前嘅？,1,0.15,0.988037079
我明白了，Thank you ！你會話呢件事發生係最近，定係好耐之前？,0.5,0.12,0.947262934
Oh 我地都有過咁樣嘅感受，所以我理解。係唔係有D咩特別嘅嘢引起咗你嘅感受？唔使擔心，我地會解決佢嘅。,1,0.19,0.912689465
好遺憾你而家感到嬲，我想盡我所能提供幫助。我希望你唔介意我問，但有冇特別發生嘅嘢？,1,0.15,0.040648879
,,,
你最近係咪試過練習6 ，如果係咁樣，係咪令你感到難以控制自己情緒？,0.5,0.2,0.956156833
我知道有時諗返過去會令人唔舒服。你有冇嘗試實行過練習6 ，如果係咁樣，你有冇覺得出現咗無法處理嘅情緒？,1,0.18,0.955029438
呢個真係好有幫助，Thank you ！你覺唔覺得做練習11會令到你覺得嬲？,0.5,0.08,0.971439309
練習6係難度更大嘅練習之一，並唔適合所有情況。我正係嘗試確定佢係咪適合你。你之前有冇試過練習6之後發覺佢太難？,1,0.15,0.933796818
係我地進一步討論之前，我想了解一下練習6係咪適合你。你可唔可以話俾我知你係咪已經試過練習6 ，係咪會引發任何嬲嘅情緒？,1,0.22,0.959288488
Thank you 你提供嘅信息。你可唔可以話俾我知你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.2,0.922021796
明白了，非常感謝分享。你最近係咪試過練習6跟住令到情緒爆發？,0.5,0.14,0.967806589
我理解同埋為發生呢D事而感到遺憾。你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.17,0.961230114
Thank you 你幫到我更好咁理解。我想知道你最近係咪試過練習6 ，如果係，你係咪發現佢弊大於利？,1,0.21,0.963860704
我想了解練習6係咪適合你。請問你最近係咪試過練習6 ，有冇發覺呢個會帶返之前負面嘅情緒？,1,0.16,0.944694977
Thank you！我認為練習6可以幫你處理呢個事件，但係有D人反映返呢個練習可能有D難。你係咪已經試過練習6 ，如果係咁樣，佢有冇激起到你困難或創傷性嘅情緒？,1,0.19,0.976763122
首先，你嘅感受對我好重要，所以我需要問吓你之前同練習嘅互動情況。你最近有冇試過練習6 ，如果有，佢係咪會因為你想起呢件事而引發難以處理嘅情緒？,1,0.21,0.943504948
有D人發現練習6唔一定對佢地有幫助，所以我想評估吓佢係咪適合你當前嘅情況。你係咪試過練習6 ，佢有冇令你感到任何負面情緒？,1,0.11,0.962044344
Thank you ，我明白啦！你會話呢種負面情緒係因爲最近做練習6而引發嘅？,0.5,0.11,0.975573093
我想知道，最近試吓做練習6係咪會引發任何唔好嘅感覺？如果發生呢種情況，我希望你唔會因為嗰次練習而感覺太辛苦。,1,0.24,0.92552925
我明白呢個可能好難。請問你係咪試過練習6嚟更好咁理解你嘅情緒？,1,0.16,0.947262934
你係咪最近試過練習6 ，你認為呢個可能係你產生呢D負面情緒嘅原因嗎？,0.5,0.12,0.874483277
練習6可以喚起你可能好耐都冇感受到嘅情緒，所以我想知道呢個係咪適合你。有冇可能你最近嘗試了練習6 ，呢個又重新點燃咗負面情緒？,1,0.23,0.557434548
多謝你嘅配合，我正係努力確定幫助嘅最佳方式。我理解回憶創傷係好難嘅。我好好奇練習6係咪對你嚟講太痛苦了？,1,0.17,0.960227984
你係咪試過練習6並且可能發現呢個並冇好似你希望咁樣提供幫助？,1,0.17,0.937241638
我認為練習6可能會有幫助，但係我提出建議之前，我想進一步調查一吓。如果你最近試過練習6 ，你可以話俾我知佢係咪會因為之前發生嘅事而導致無法控制嘅情緒？,1,0.21,0.888951522
你係咪最近試過練習6 ，並因為過去事件引發了無法忍受嘅情緒？,0.5,0.11,0.963735438
聽到正係經歷呢個我好遺憾。你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.17,0.383940874
練習6中嘅一D項目對某D人嚟講可能好難，所以我想知道佢地係咪適合你。你係咪試過練習6中嘅練習並發現佢地好難或有創傷？,1,0.18,0.912689465
多謝你同我分享，我知道呢個可能好難。我想問你最近係咪試過練習6 ，如果係，你係咪因此感到更加痛苦。,1,0.27,0.922021796
Thank you！或者練習6可以幫你處理呢個事件，但係係我推薦佢之前，我想確定你過去沒有遇到過唔好嘅經歷。你係咪已經試過練習6 ，如果係，佢有冇激起到你困難或創傷性嘅情緒？,1,0.19,0.810221721
你最近係咪試過練習6 ，如果係咁樣，係咪令你感到難以控制自己情緒？,0.5,0.2,0.907553551
我知道有時諗返過去會令人唔舒服。你有冇嘗試實行過練習6 ，如果係咁樣，你有冇覺得出現咗無法處理嘅情緒？,1,0.18,0.912689465
呢個真係好有幫助，Thank you ！你覺唔覺得做練習11會令到你覺得嬲？,0.5,0.08,0.947576099
練習6係難度更大嘅練習之一，並唔適合所有情況。我正係嘗試確定佢係咪適合你。你之前有冇試過練習6之後發覺佢太難？,1,0.15,0.822560441
係我地進一步討論之前，我想了解一下練習6係咪適合你。你可唔可以話俾我知你係咪已經試過練習6 ，係咪會引發任何嬲嘅情緒？,1,0.22,0.782851058
Thank you 你提供嘅信息。你可唔可以話俾我知你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.2,0.94901666
明白了，非常感謝分享。你最近係咪試過練習6跟住令到情緒爆發？,0.5,0.14,0.912689465
我理解同埋為發生呢D事而感到遺憾。你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.17,0.871414255
Thank you 你幫到我更好咁理解。我想知道你最近係咪試過練習6 ，如果係，你係咪發現佢弊大於利？,1,0.21,0.828385319
我想了解練習6係咪適合你。請問你最近係咪試過練習6 ，有冇發覺呢個會帶返之前負面嘅情緒？,1,0.16,0.912689465
Thank you！我認為練習6可以幫你處理呢個事件，但係有D人反映返呢個練習可能有D難。你係咪已經試過練習6 ，如果係咁樣，佢有冇激起到你困難或創傷性嘅情緒？,1,0.19,0.922021796
多謝你咁坦白，我正係到揾提供幫助嘅最佳方法。我知道重新睇返創傷係好辛苦。但係我想知道練習6 係咪對你嚟講太辛苦？,1,0.22,0.810221721
